Scheme Code,Scheme Name,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Net Asset Value,Repurchase Price,Sale Price,Date
,,,,,,,
Open Ended Schemes ( Equity Scheme - Multi Cap Fund ),,,,,,,
,,,,,,,
,,,,,,,
Motilal Oswal Mutual Fund,,,,,,,
152649,Motilal Oswal Multi Cap Fund Regular Plan IDCW,INF247L01CJ2,INF247L01CK0,11.9824,,,20-Feb-25
152649,Motilal Oswal Multi Cap Fund Regular Plan IDCW,INF247L01CJ2,INF247L01CK0,11.8503,,,21-Feb-25
152649,Motilal Oswal Multi Cap Fund Regular Plan IDCW,INF247L01CJ2,INF247L01CK0,11.7981,,,24-Feb-25
152649,Motilal Oswal Multi Cap Fund Regular Plan IDCW,INF247L01CJ2,INF247L01CK0,11.8072,,,25-Feb-25
152649,Motilal Oswal Multi Cap Fund Regular Plan IDCW,INF247L01CJ2,INF247L01CK0,11.5796,,,27-Feb-25
152649,Motilal Oswal Multi Cap Fund Regular Plan IDCW,INF247L01CJ2,INF247L01CK0,11.4443,,,28-Feb-25
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.8371,,,1-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.6627,,,3-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.4848,,,4-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.2764,,,7-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.5829,,,8-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.6838,,,9-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.6253,,,10-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.6694,,,11-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.7425,,,14-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.7821,,,15-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.6608,,,16-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.4659,,,17-Oct-24
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,INF247L01CL8,,12.461,,,18-Oct-24
