pr_auc,roc_auc,model,resampler,dataset
0.14567879854340496,0.8042740841248305,Elastic_L70_C10,SMOTETomek,high_drift_w3_n10_d60.csv
0.13626021238507277,0.8028230061812152,Elastic_L70_C10,SMOTEENN,high_drift_w3_n10_d60.csv
0.17748272654905964,0.7960010553294136,Elastic_L70_C10,Random Undersample,high_drift_w3_n10_d60.csv
0.1539124710872392,0.78578697421981,Elastic_L70_C10,Cluster Centroids,high_drift_w3_n10_d60.csv
0.14853786242701128,0.7949457259158752,Elastic_L70_C10,No Resampling,high_drift_w3_n10_d60.csv
0.03341818932815559,0.6216031341334494,Elastic_L70_C10,Manual Upsampling,imbalanced_sparse_w0_n10_d10.csv
0.03654929285415275,0.6341645420060942,Elastic_L70_C10,SMOTE,imbalanced_sparse_w0_n10_d10.csv
0.037356002582705466,0.6330452086313041,Elastic_L70_C10,ADASYN,imbalanced_sparse_w0_n10_d10.csv
0.025676876718637755,0.6614638393134756,Elastic_L70_C10,Borderline SMOTE,imbalanced_sparse_w0_n10_d10.csv
0.03654929285415275,0.6341645420060942,Elastic_L70_C10,SMOTETomek,imbalanced_sparse_w0_n10_d10.csv
0.035684212124070865,0.6339779864436292,Elastic_L70_C10,SMOTEENN,imbalanced_sparse_w0_n10_d10.csv
0.0176987182061578,0.591008021889186,Elastic_L70_C10,Random Undersample,imbalanced_sparse_w0_n10_d10.csv
0.043634191988641095,0.5944282072010447,Elastic_L70_C10,Cluster Centroids,imbalanced_sparse_w0_n10_d10.csv
0.02204022706632185,0.5436229090230708,Elastic_L70_C10,No Resampling,imbalanced_sparse_w0_n10_d10.csv
0.1484112577351237,0.7731215601818617,Elastic_L70_C10,Manual Upsampling,mixed_realistic_w4_n15_d30.csv
0.14165968526840247,0.7724036850921273,Elastic_L70_C10,SMOTE,mixed_realistic_w4_n15_d30.csv
0.15857380601557666,0.7749312036372338,Elastic_L70_C10,ADASYN,mixed_realistic_w4_n15_d30.csv
0.1501907564289846,0.7678272313950706,Elastic_L70_C10,Borderline SMOTE,mixed_realistic_w4_n15_d30.csv
0.14165968526840247,0.7724036850921273,Elastic_L70_C10,SMOTETomek,mixed_realistic_w4_n15_d30.csv
0.14134689288847183,0.7724485522852357,Elastic_L70_C10,SMOTEENN,mixed_realistic_w4_n15_d30.csv
0.13231321706360125,0.7729570471404643,Elastic_L70_C10,Random Undersample,mixed_realistic_w4_n15_d30.csv
0.16059151198131846,0.7688143096434554,Elastic_L70_C10,Cluster Centroids,mixed_realistic_w4_n15_d30.csv
