pr_auc,roc_auc,model,resampler,dataset,baseline_pr_auc,beats_baseline
0.6663735873516066,0.9287020334032814,Elastic_L70_C10,SMOTEENN,baseline_easy_w5_n5_d0.csv,0.0552,True
0.7102033396872532,0.9297328473781737,Elastic_L70_C10,Random Undersample,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6468279817354903,0.9234252475794279,Elastic_L70_C10,Cluster Centroids,baseline_easy_w5_n5_d0.csv,0.0552,True
0.6874806956950524,0.9308618341125797,Elastic_L70_C10,No Resampling,baseline_easy_w5_n5_d0.csv,0.0552,True
0.14956317325486024,0.7970752299110508,Elastic_L70_C10,Manual Upsampling,high_drift_w3_n10_d60.csv,0.0356,True
0.14574581517951146,0.8043683099653248,Elastic_L70_C10,SMOTE,high_drift_w3_n10_d60.csv,0.0356,True
0.1392458000797716,0.7990728177295341,Elastic_L70_C10,ADASYN,high_drift_w3_n10_d60.csv,0.0356,True
0.17221870676956752,0.8028418513493141,Elastic_L70_C10,Borderline SMOTE,high_drift_w3_n10_d60.csv,0.0356,True
0.14574581517951146,0.8043683099653248,Elastic_L70_C10,SMOTETomek,high_drift_w3_n10_d60.csv,0.0356,True
0.13631441492338237,0.8027476255088195,Elastic_L70_C10,SMOTEENN,high_drift_w3_n10_d60.csv,0.0356,True
0.17742928864691368,0.7960010553294135,Elastic_L70_C10,Random Undersample,high_drift_w3_n10_d60.csv,0.0356,True
0.15391746991792007,0.7857681290517112,Elastic_L70_C10,Cluster Centroids,high_drift_w3_n10_d60.csv,0.0356,True
0.1489137077549437,0.7949645710839741,Elastic_L70_C10,No Resampling,high_drift_w3_n10_d60.csv,0.0356,True
0.033398195479233304,0.6212922081960077,Elastic_L70_C10,Manual Upsampling,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.036555941911976655,0.6341023568186058,Elastic_L70_C10,SMOTE,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.037338913792216155,0.6327342826938623,Elastic_L70_C10,ADASYN,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.02568552230892583,0.6611529133760339,Elastic_L70_C10,Borderline SMOTE,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.036555941911976655,0.6341023568186058,Elastic_L70_C10,SMOTETomek,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.035679392745161825,0.6337292456936758,Elastic_L70_C10,SMOTEENN,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.017905750707093087,0.5913189478266276,Elastic_L70_C10,Random Undersample,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.04345397970130635,0.5938063553261613,Elastic_L70_C10,Cluster Centroids,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.048300039419522406,0.5561221317082271,Elastic_L70_C10,No Resampling,imbalanced_sparse_w0_n10_d10.csv,0.0108,True
0.14840522703706865,0.7731066044508257,Elastic_L70_C10,Manual Upsampling,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.14166986003938614,0.7724485522852357,Elastic_L70_C10,SMOTE,mixed_realistic_w4_n15_d30.csv,0.0452,True
0.15864192074631678,0.7748863364441253,Elastic_L70_C10,ADASYN,mixed_realistic_w4_n15_d30.csv,0.0452,True
