Date,Open_CSCO,High_CSCO,Low_CSCO,Close_CSCO,Adj Close_CSCO,Volume_CSCO,Open_ADBE,High_ADBE,Low_ADBE,Close_ADBE,Adj Close_ADBE,Volume_ADBE,Open_FCEL,High_FCEL,Low_FCEL,Close_FCEL,Adj Close_FCEL,Volume_FCEL,Open_AMZN,High_AMZN,Low_AMZN,Close_AMZN,Adj Close_AMZN,Volume_AMZN,Open_AMD,High_AMD,Low_AMD,Close_AMD,Adj Close_AMD,Volume_AMD,Open_ERIC,High_ERIC,Low_ERIC,Close_ERIC,Adj Close_ERIC,Volume_ERIC,Open_FORD,High_FORD,Low_FORD,Close_FORD,Adj Close_FORD,Volume_FORD,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Adj Close_AAPL,Volume_AAPL
2000-02-09,66.625,67.5,63.21875,64.40625,42.40361404418945,107807600,20.96875,21.9375,20.71875,21.890625,21.735761642456055,15321600,51840.0,53190.0,47250.0,48397.5,48397.5,97,4.027344226837158,4.186718940734863,4.000781059265137,4.012499809265137,4.012499809265137,191608000,20.6875,21.1875,20.25,21.03125,21.03125,7813600,111.875,113.75,109.375,111.875,66.78963470458984,7098800,32.5,35.0,28.75,32.5,32.5,8390,1.0189729928970337,1.0457589626312256,1.003906011581421,1.005579948425293,0.8473225831985474,299364800
2000-02-10,65.3125,68.125,64.28125,67.96875,44.74908447265625,64314000,21.640625,22.8125,21.0625,22.8125,22.651111602783203,13175600,48600.0,51300.0,48600.0,49680.0,49680.0,37,3.924999952316284,3.993750095367432,3.775000095367432,3.809375047683716,3.809375047683716,199592000,21.03125,21.375,20.65625,21.25,21.25,6373600,111.09375,114.0625,109.84375,113.515625,67.76907348632812,3613760,32.1875,32.5,29.375,30.0,30.0,2810,1.0078129768371582,1.0167410373687744,0.982142984867096,1.0133930444717407,0.853905975818634,302982400
2000-02-11,66.5625,66.8125,64.0625,65.46875,43.103126525878906,75471000,22.5,22.8125,21.71875,22.609375,22.449432373046875,7216800,49950.0,50220.0,48870.0,49680.0,49680.0,14,3.856250047683716,3.956249952316284,3.775000095367432,3.809375047683716,3.809375047683716,166180000,21.375,22.75,20.90625,22.75,22.75,14933400,114.296875,115.15625,110.48828125,112.734375,67.30267333984375,3532000,30.0,31.875,29.375,30.625,30.625,2330,1.0145089626312256,1.0189729928970337,0.966517984867096,0.970982015132904,0.8181697130203247,212251200
2000-02-14,66.46875,66.46875,63.46875,65.25,42.95911407470703,49103800,22.03125,22.5,21.265625,22.40625,22.247745513916016,6994800,50220.0,56700.0,50220.0,54540.0,54540.0,140,3.784374952316284,3.787499904632568,3.678124904632568,3.721874952316284,3.721874952316284,103394000,22.40625,22.75,21.0625,21.625,21.625,8745200,112.265625,112.34375,105.9375,108.125,64.55085754394531,3477680,31.875,34.375,30.9375,34.375,34.375,3660,0.9760040044784546,1.0345979928970337,0.9698659777641296,1.0340399742126465,0.8713035583496094,367539200
2000-02-15,64.875,65.0625,62.65625,64.0,42.13614273071289,61367200,22.1015625,23.0,21.5625,22.21875,22.06156539916992,7082400,56430.0,57780.0,52110.0,56430.0,56430.0,117,3.671875,3.809375047683716,3.53125,3.690624952316284,3.690624952316284,128490000,21.75,22.375,21.1875,21.75,21.75,8673800,107.03125,108.125,102.578125,107.96875,64.45758056640625,4658320,31.875,35.625,31.875,35.625,35.625,1150,1.0290180444717407,1.0708709955215454,1.0284600257873535,1.0625,0.8952845931053162,485744000
2000-02-16,63.9375,64.75,63.375,63.5859375,41.8635368347168,46274000,22.0,24.6875,21.875,24.546875,24.373220443725582,10723600,56160.0,60750.0,54810.0,58995.0,58995.0,101,3.637500047683716,3.671875,3.53125,3.534374952316284,3.534374952316284,85204000,21.875,22.59375,21.6875,21.875,21.875,7579800,104.453125,110.625,103.828125,108.75,64.92398071289062,5378880,36.25,36.25,31.875,36.25,36.25,2310,1.051339030265808,1.0546879768371582,1.0011160373687744,1.0189729928970337,0.858607828617096,378246400
2000-02-17,64.46875,65.3125,63.8125,65.25,42.95911407470703,39656600,24.75,25.53125,24.03125,25.390625,25.210996627807617,10482400,59940.0,64260.0,59535.0,61425.0,61425.0,111,3.5625,3.565624952316284,3.4000000953674316,3.450000047683716,3.450000047683716,122592000,22.09375,22.09375,21.0625,21.5,21.5,5442600,111.09375,111.11328125,106.5625,109.6875,65.48365783691406,4244240,33.75,39.0625,33.75,37.5,37.5,5190,1.0284600257873535,1.03125,1.010045051574707,1.025670051574707,0.8642505407333374,289497600
2000-02-18,65.34375,65.40625,62.78125,62.90625,41.416046142578125,41600000,25.65625,25.671875,24.25,24.5625,24.388736724853516,6311200,61695.0,63112.5,57240.0,58320.0,58320.0,82,3.421875,3.450000047683716,3.1937499046325684,3.237499952316284,3.237499952316284,174528000,21.1875,21.8125,20.0,21.5,21.5,6451000,112.34375,112.734375,110.15625,110.859375,66.18329620361328,4824160,36.875,37.5,35.0,35.0,35.0,880,1.0234379768371582,1.0301339626312256,0.9899550080299376,0.9933040142059326,0.8369786143302917,233441600
2000-02-22,63.28125,63.53125,60.625,61.96875,40.7988166809082,61144400,24.453125,24.90625,22.609375,24.5703125,24.3964900970459,7825600,59400.0,70132.5,59400.0,69660.0,69660.0,143,3.246875047683716,3.325000047683716,3.153125047683716,3.1781249046325684,3.1781249046325684,113716000,20.125,21.21875,19.8125,20.90625,20.90625,5422600,115.546875,116.5625,112.03125,114.0625,68.09556579589844,4790080,35.0,35.0,33.75,33.75,33.75,1180,0.9832590222358704,1.0440850257873535,0.9525669813156128,1.0161830186843872,0.856256902217865,422296000
2000-02-23,63.5,69.5,63.15625,69.3125,45.633766174316406,105707800,24.375,26.25,23.859375,24.90625,24.73005485534668,7614800,71685.0,78300.0,71415.0,76680.0,76680.0,270,3.2437500953674316,3.5875000953674316,3.234375,3.5218749046325684,3.5218749046325684,168824000,20.84375,20.96875,20.53125,20.53125,20.53125,2930400,114.21875,115.3125,111.875,114.84375,68.56195831298828,4700560,33.75,33.75,32.1875,32.1875,32.1875,3150,1.0110210180282593,1.0625,0.9910709857940674,1.0379459857940674,0.8745948672294617,473099200
2000-02-24,68.625,68.875,66.25,68.625,45.181129455566406,74976000,25.28125,26.65625,24.25,26.59375,26.405614852905273,6901200,76815.0,76815.0,69660.0,72360.0,72360.0,126,3.528125047683716,3.5687499046325684,3.28125,3.421875,3.421875,117386000,20.75,21.46875,20.34375,21.28125,21.28125,4091400,115.078125,116.875,114.0625,116.25,69.4015121459961,4734960,35.3125,36.25,31.25,35.0,35.0,3760,1.0474330186843872,1.0636160373687744,0.997767984867096,1.0285990238189695,0.8667188286781311,376432000
